"","ids","mflr_diff_log","mflr_diff","best_model","study_str","m1m3_diff"
"30","pl17",0.501301452791806,0.066753109216657,"n-state","s1",6.78520737413113
"31","pl18",-0.424479772236265,-0.078240949277762,"1-state","s1",-4.59511984676959
"32","pl19",0.849885243515322,0.205468813704344,"n-state","s1",27.0693799794263
"33","pl2",0.335860300919826,0.095447701479187,"n-state","s1",5.30017473154313
"34","pl20",0.790433700236162,0.334725950613302,"n-state","s1",0.626951132349951
"35","pl21",-0.0392352790365982,-0.005246230237025,"n-state","s1",17.915514283565
"36","pl22",-0.109380555454423,-0.018131885314931,"1-state","s1",-4.605258691687
"37","pl23",0.0485503131297362,0.009834002909273,"n-state","s1",0.0106218145574246
"38","pl24",-0.211034078396629,-0.069544389438506,"n-state","s1",11.1641326754903
"39","pl25",-0.0146004002825681,-0.00252764291759403,"1-state","s1",-4.60517017462288
"40","pl26",-0.237514339254495,-0.092267322368008,"n-state","s1",9.08272116488669
"41","pl27",0.128003130675485,0.0112431686905044,"1-state","s1",-4.56149774244125
"42","pl28",-0.276439004223765,-0.080134005645989,"1-state","s1",-4.59543106857217
"43","pl29",0.256751229428884,0.105906872767071,"n-state","s1",7.87055804606064
"44","pl3",0.627937944755247,0.087774642045553,"1-state","s1",-4.5949301010406
"45","pl30",0.100941049544941,0.038343534655541,"n-state","s1",7.86613235655902
"46","pl33",0.104991454289561,0.016363347815533,"n-state","s1",54.270775870887
"47","pl34",0.261724036585247,0.088578234440439,"1-state","s1",-1.38822892257141
"48","pl4",1.20821210333345,0.168923654539055,"1-state","s1",-4.59511984744614
"49","pl5",0.628987135216075,0.116455182026887,"n-state","s1",8.32575740371212
"50","pl6",-0.5422862919179,-0.099896041661625,"1-state","s1",-4.59511980812113
"51","pl7",0.389235366577688,0.072926017512641,"1-state","s1",-4.62497241310848
"52","pl8",0.0191953303375778,0.00631309399468,"n-state","s1",18.3326214969156
"53","ss10",0.0827056675326381,0.0227265612031957,"n-state","s3",7.71427880123509
"54","ss12",0.09560924227168,-0.00433209477311697,"1-state","s3",-3.97541665196991
"55","ss13",0.257986289265594,0.0354340970563807,"n-state","s3",6.23336209751563
"56","ss14",-0.0364072275777346,-0.0256490830988483,"n-state","s3",11.7914750282647
"57","ss15",0.0740416108557211,0.0071124280356476,"n-state","s3",25.577601217505
"58","ss16",-0.201243040408063,-0.0370223874945424,"1-state","s3",-9.76220486585517
"59","ss17",-0.249474295327263,-0.113533212202568,"n-state","s3",69.9229505561448
"60","ss18",0.308978913179413,0.0285072715897766,"1-state","s3",-2.18118079601446
"61","ss19",0.0838990082899378,0.0300363462746723,"n-state","s3",6.37961867443316
"62","ss20",0.181374134984017,0.0241148593585105,"1-state","s3",-19.7774655648594
"63","ss21",0.889175201896661,0.207251919044728,"n-state","s3",24.7858104919726
"64","ss22",-0.0720426338727204,-0.0359277786830203,"n-state","s3",3.27209099617528
"65","ss23",0.283249203238948,0.032180068120787,"n-state","s3",32.8888989762836
"66","ss24",0.588626936696917,0.0768309405846526,"n-state","s3",15.4242546350104
"67","ss25",-0.24903063692689,-0.0622223133706537,"n-state","s3",10.2839555196137
"68","ss26",0.372978151839229,0.055462877230338,"1-state","s3",-4.54729293804818
"69","ss27",0.00559862987293184,-0.0359830524366057,"n-state","s3",13.9904752177288
"70","ss28",-0.0163886998662465,0.000828326912407649,"n-state","s3",2.26636304055536
"71","ss29",0.758402323267386,0.208020455930098,"n-state","s3",10.9465448880742
"72","ss3",-0.0608675794993146,-0.0194956539712859,"n-state","s3",24.2175718707922
"73","ss30",0.586623232046389,0.105730912857315,"n-state","s3",10.3557475655889
"74","ss32",-0.0409798509023058,-0.00642287409403733,"1-state","s3",-2.93627321523078
"75","ss33",0.564996607536267,0.134303304046749,"n-state","s3",8.43825693832837
"76","ss34",0.0704444490471123,-0.0154128521599617,"n-state","s3",20.4178696217083
"77","ss35",0.20278347047848,0.0397573128816327,"1-state","s3",-0.862078599109857
"78","ss36",-0.316416882300178,-0.0437744863845646,"n-state","s3",9.72202252817867
"79","ss37",0.580708584494253,0.151708483355521,"n-state","s3",12.298082187894
"80","ss38",0.2368836894367,0.0309804965166222,"n-state","s3",8.95018567998337
"81","ss39",0.506974710276573,0.0679096405456076,"n-state","s3",16.9267636475048
"82","ss4",0.015741894006466,-0.008103427337742,"1-state","s3",-0.474429834313545
"83","ss40",0.992652690060252,0.114867591823995,"n-state","s3",5.25440559633545
"84","ss41",0.729879940416379,0.167894413100861,"n-state","s3",37.2413162112717
"85","ss42",0.478729227921724,0.0498563454967475,"n-state","s3",8.34772693079463
"86","ss5",1.06831888562351,0.11779913849435,"n-state","s3",30.6368426672947
"87","ss7",0.198234678553743,0.02242491126168,"1-state","s3",-2.24931625434388
"88","ss8",0.134703549558702,0.0328338530564065,"n-state","s3",0.5976777541201
"89","ss9",0.220968141624379,0.0212195883833994,"n-state","s3",30.5739482880441
