"id","contingency","phase_str","condval"
"ss34","75/25","acq",0.0525094876759499
"ss34","75/25","ext",-0.0416155181919807
"ss34","90/10","acq",0.0605935746751251
"ss34","90/10","ext",-0.0393727786513655
"ss35","60/40","acq",0.020666285103734
"ss35","60/40","ext",-0.00399713232857038
"ss35","75/25","acq",0.0464945967964078
"ss35","75/25","ext",-0.0246666241554006
"ss35","90/10","acq",0.0782142234554874
"ss35","90/10","ext",-0.0633679032181217
"ss36","60/40","acq",0.0113022534324255
"ss36","60/40","ext",-0.0139040954170626
"ss36","75/25","acq",0.00611990143403992
"ss36","75/25","ext",0.00178111259437354
"ss36","90/10","acq",0.0640611361728516
"ss36","90/10","ext",-0.0303314728295782
"ss37","60/40","acq",0.0117402500480618
"ss37","60/40","ext",-0.0066128895444222
"ss37","75/25","acq",0.0334541545213854
"ss37","75/25","ext",-0.0351578149271045
"ss37","90/10","acq",0.0873853922405203
"ss37","90/10","ext",-0.074693046237744
"ss38","60/40","acq",-0.0234340992072772
"ss38","60/40","ext",-0.00933705627173409
"ss38","75/25","acq",0.00227753165702541
"ss38","75/25","ext",-0.00389771979768948
"ss38","90/10","acq",0.0241653439579329
"ss38","90/10","ext",-0.0424633544960708
"ss39","60/40","acq",0.0283794077606948
"ss39","60/40","ext",-0.00349051742660776
"ss39","75/25","acq",0.0364228167123851
"ss39","75/25","ext",-0.0356694714215516
"ss39","90/10","acq",0.0261850698537259
"ss39","90/10","ext",-0.00962002236369938
"ss4","75/25","acq",0.00456345459293447
"ss4","75/25","ext",-0.0362237507211336
"ss4","90/10","acq",0.0200424741368816
"ss4","90/10","ext",-0.0200861188616676
"ss40","60/40","acq",0.0225997572452766
"ss40","60/40","ext",-0.0239395838416001
"ss40","75/25","acq",0.00526089541473727
"ss40","75/25","ext",-0.00776904935716809
"ss40","90/10","acq",-0.00878990068717464
"ss40","90/10","ext",0.00924200611860633
"ss41","60/40","acq",0.00125067182518694
"ss41","60/40","ext",-0.0116969731615497
"ss41","75/25","acq",0.0230562400625527
"ss41","75/25","ext",-0.0395946843850693
