specID,order_str,contingency,phase_str,id,prob
ss15_bl7525,third,75/25,acq,ss15,0.700655737704918
ss15_bl7525,third,75/25,ext,ss15,0.656025641025641
ss15_bl9010,first,90/10,acq,ss15,0.774875
ss15_bl9010,first,90/10,ext,ss15,0.5134375
ss16_bl6040,third,60/40,acq,ss16,0.519732142857143
ss16_bl6040,third,60/40,ext,ss16,0.527166666666667
ss16_bl7525,first,75/25,acq,ss16,0.615694444444445
ss16_bl7525,first,75/25,ext,ss16,0.610172413793103
ss16_bl9010,second,90/10,acq,ss16,0.885882352941176
ss16_bl9010,second,90/10,ext,ss16,0.896666666666667
ss17_bl6040,second,60/40,acq,ss17,0.774716981132075
ss17_bl6040,second,60/40,ext,ss17,0.331184210526316
ss17_bl7525,first,75/25,acq,ss17,0.789444444444445
ss17_bl7525,first,75/25,ext,ss17,0.381551724137931
ss17_bl9010,third,90/10,acq,ss17,0.890348837209302
ss17_bl9010,third,90/10,ext,ss17,0.315545454545455
ss18_bl6040,second,60/40,acq,ss18,0.507222222222222
ss18_bl6040,second,60/40,ext,ss18,0.420625
ss18_bl7525,first,75/25,acq,ss18,0.571530612244898
ss18_bl7525,first,75/25,ext,ss18,0.700645161290323
ss18_bl9010,third,90/10,acq,ss18,0.439
ss18_bl9010,third,90/10,ext,ss18,0.3859
ss19_bl6040,second,60/40,acq,ss19,0.422446808510638
ss19_bl6040,second,60/40,ext,ss19,0.479838709677419
ss19_bl7525,first,75/25,acq,ss19,0.538606557377049
ss19_bl7525,first,75/25,ext,ss19,0.534230769230769
ss19_bl9010,third,90/10,acq,ss19,0.64546511627907
ss19_bl9010,third,90/10,ext,ss19,0.459636363636364
ss20_bl6040,first,60/40,acq,ss20,0.905957446808511
ss20_bl6040,first,60/40,ext,ss20,0.779677419354839
ss20_bl7525,third,75/25,acq,ss20,0.959487179487179
ss20_bl7525,third,75/25,ext,ss20,0.955092592592593
ss20_bl9010,second,90/10,acq,ss20,0.966625
ss20_bl9010,second,90/10,ext,ss20,0.933645833333333
ss21_bl6040,first,60/40,acq,ss21,0.771981132075472
ss21_bl6040,first,60/40,ext,ss21,0.291447368421053
ss21_bl7525,third,75/25,acq,ss21,0.725972222222222
ss21_bl7525,third,75/25,ext,ss21,0.344224137931034
ss21_bl9010,second,90/10,acq,ss21,0.833375
ss21_bl9010,second,90/10,ext,ss21,0.200729166666667
ss22_bl6040,second,60/40,acq,ss22,0.439888888888889
ss22_bl6040,second,60/40,ext,ss22,0.456666666666667
ss22_bl7525,first,75/25,acq,ss22,0.805416666666667
ss22_bl7525,first,75/25,ext,ss22,0.829895833333333
ss22_bl9010,third,90/10,acq,ss22,0.718796296296296
ss22_bl9010,third,90/10,ext,ss22,0.613181818181818
ss23_bl6040,second,60/40,acq,ss23,0.497924528301887
ss23_bl6040,second,60/40,ext,ss23,0.405263157894737
ss23_bl7525,third,75/25,acq,ss23,0.349897959183673
ss23_bl7525,third,75/25,ext,ss23,0.170483870967742
ss23_bl9010,first,90/10,acq,ss23,0.691590909090909
ss23_bl9010,first,90/10,ext,ss23,0.703
ss24_bl6040,second,60/40,acq,ss24,0.635957446808511
