"","id","ta","tabin","grpvar","term","grp","condval","condsd","phase","contingency","half","phase_str","half_str","abscondval","slope"
"419","m43",-8.01645165108297,"lowAnx","id","trno","m43",-0.0282723486427842,0.011509557378718,"ext","75/25","second","ext","second",0.0282723486427842,0.0282723486427842
"420","pl10",-9.01645165108297,"lowAnx","id","trno","pl10",0.00826064940550184,0.0146279036786559,"ext","75/25","second","ext","second",0.00826064940550184,0.00826064940550184
"421","pl11",11.983548348917,"hiAnx","id","trno","pl11",0.00772861502800222,0.0143652311261397,"ext","75/25","second","ext","second",0.00772861502800222,0.00772861502800222
"422","pl12",-3.01645165108297,"lowAnx","id","trno","pl12",0.0038258664125053,0.0146279036786559,"ext","75/25","second","ext","second",0.0038258664125053,0.0038258664125053
"423","pl13",5.98354834891703,"hiAnx","id","trno","pl13",-0.00251811264699184,0.0147438834914855,"ext","75/25","second","ext","second",0.00251811264699184,0.00251811264699184
"424","pl14",-14.016451651083,"lowAnx","id","trno","pl14",-0.00188774313645599,0.0146279036786559,"ext","75/25","second","ext","second",0.00188774313645599,0.00188774313645599
"425","pl15",4.98354834891703,"hiAnx","id","trno","pl15",-0.0214407780227363,0.0143652311261397,"ext","75/25","second","ext","second",0.0214407780227363,0.0214407780227363
"426","pl16",4.98354834891703,"hiAnx","id","trno","pl16",-0.00672787936173895,0.0147438834914855,"ext","75/25","second","ext","second",0.00672787936173895,0.00672787936173895
"427","pl17",10.983548348917,"hiAnx","id","trno","pl17",-0.0295230052476283,0.0147438834914855,"ext","75/25","second","ext","second",0.0295230052476283,0.0295230052476283
"428","pl18",-9.01645165108297,"lowAnx","id","trno","pl18",-0.0120912225338606,0.0143652311261397,"ext","75/25","second","ext","second",0.0120912225338606,0.0120912225338606
"429","pl19",-9.01645165108297,"lowAnx","id","trno","pl19",0.0149911499574408,0.0143652311261397,"ext","75/25","second","ext","second",0.0149911499574408,0.0149911499574408
"430","pl2",30.983548348917,"hiAnx","id","trno","pl2",-0.0259150801587766,0.015644082639254,"ext","75/25","second","ext","second",0.0259150801587766,0.0259150801587766
"431","pl20",-9.01645165108297,"lowAnx","id","trno","pl20",-0.0288412877189869,0.0235188464053646,"ext","75/25","second","ext","second",0.0288412877189869,0.0288412877189869
"432","pl21",8.98354834891703,"hiAnx","id","trno","pl21",-0.0229574682679547,0.0143652311261397,"ext","75/25","second","ext","second",0.0229574682679547,0.0229574682679547
"433","pl22",3.98354834891703,"hiAnx","id","trno","pl22",0.000330158693297266,0.0147438834914855,"ext","75/25","second","ext","second",0.000330158693297266,0.000330158693297266
"434","pl23",-16.016451651083,"lowAnx","id","trno","pl23",-0.00219607967768421,0.0147438834914855,"ext","75/25","second","ext","second",0.00219607967768421,0.00219607967768421
