specID,ta,tabin,Trial_Type,contingency,study_str,id,prob,err,trtype_str
pl30,30,1,1,75/25,study_1,pl30,0.75513698630137,0.0233099362522575,hi-prob
pl30,30,1,2,75/25,study_1,pl30,0.0982876712328767,-0.0821589958132835,low-prob
pl33,22,1,1,75/25,study_1,pl33,0.815833333333333,0.0853965501868171,hi-prob
pl33,22,1,2,75/25,study_1,pl33,0.336944444444444,0.0908253003063045,low-prob
pl34,57,2,1,75/25,study_1,pl34,0.66472972972973,-0.144180754709091,hi-prob
pl34,57,2,2,75/25,study_1,pl34,0.405608108108108,0.194921295728699,low-prob
pl4,47,2,1,75/25,study_1,pl4,0.771506849315069,0.0396797992659561,hi-prob
pl4,47,2,2,75/25,study_1,pl4,0.201369863013699,0.0209231959675385,low-prob
pl5,50,2,1,75/25,study_1,pl5,0.676575342465754,-0.055251707583359,hi-prob
pl5,50,2,2,75/25,study_1,pl5,0.20027397260274,0.0198273055565796,low-prob
pl6,35,1,1,75/25,study_1,pl6,0.616643835616439,-0.115183214432674,hi-prob
pl6,35,1,2,75/25,study_1,pl6,0.37,0.18955333295384,low-prob
pl7,37,1,1,75/25,study_1,pl7,0.672466666666667,-0.126139296860485,hi-prob
pl7,37,1,2,75/25,study_1,pl7,0.561666666666667,0.27181694480196,low-prob
pl8,62,2,1,75/25,study_1,pl8,0.926418918918918,0.129607124078787,hi-prob
pl8,62,2,2,75/25,study_1,pl8,0.291689189189189,0.044163719971123,low-prob
ss10_bl6040,56,2,1,60/40,study_3,ss10,0.450576923076923,-0.110353142408537,hi-prob
ss10_bl6040,56,2,2,60/40,study_3,ss10,0.293461538461539,0.00151226985221318,low-prob
ss10_bl7525,56,2,1,75/25,study_3,ss10,0.532195121951219,-0.157032502723434,hi-prob
ss10_bl7525,56,2,2,75/25,study_3,ss10,0.347439024390244,0.0875109630944789,low-prob
ss10_bl9010,56,2,1,90/10,study_3,ss10,0.8957,-0.0870318141712927,hi-prob
ss10_bl9010,56,2,2,90/10,study_3,ss10,0.1448,0.0467704099288603,low-prob
ss12_bl6040,45,2,1,60/40,study_3,ss12,0.432916666666667,-0.173127703435684,hi-prob
ss12_bl6040,45,2,2,60/40,study_3,ss12,0.451145833333333,0.128872259244209,low-prob
ss12_bl7525,45,2,1,75/25,study_3,ss12,0.764464285714286,-0.0218533238691422,hi-prob
ss12_bl7525,45,2,2,75/25,study_3,ss12,0.282321428571429,0.0955298819776655,low-prob
ss12_bl9010,45,2,1,90/10,study_3,ss12,0.949318181818182,0.0721699819420745,hi-prob
ss12_bl9010,45,2,2,90/10,study_3,ss12,0.103068181818182,-0.108692890882003,low-prob
ss13_bl6040,27,1,1,60/40,study_3,ss13,0.790612244897959,0.0890512226851236,hi-prob
ss13_bl6040,27,1,2,60/40,study_3,ss13,0.271122448979592,-0.158748703037072,low-prob
ss13_bl7525,27,1,1,75/25,study_3,ss13,0.860697674418605,0.154536816101656,hi-prob
ss13_bl7525,27,1,2,75/25,study_3,ss13,0.108953488372093,-0.213379183659796,low-prob
ss13_bl9010,27,1,1,90/10,study_3,ss13,0.945851063829787,-0.0227055314182458,hi-prob
ss13_bl9010,27,1,2,90/10,study_3,ss13,0.261914893617021,0.194787474951353,low-prob
ss14_bl6040,44,2,1,60/40,study_3,ss14,0.238269230769231,-0.354281713837108,hi-prob
ss14_bl6040,44,2,2,60/40,study_3,ss14,0.178846153846154,-0.103487730147787,low-prob
ss14_bl7525,44,2,1,75/25,study_3,ss14,0.534146341463415,-0.155081283211239,hi-prob
ss14_bl7525,44,2,2,75/25,study_3,ss14,0.333170731707317,0.0732426704115521,low-prob
ss14_bl9010,44,2,1,90/10,study_3,ss14,0.501304347826087,-0.41126599217662,hi-prob
ss14_bl9010,44,2,2,90/10,study_3,ss14,0.0482608695652173,0.0198963543138472,low-prob
ss15_bl6040,37,1,1,60/40,study_3,ss15,0.769387755102041,0.0722330408669418,hi-prob
ss15_bl6040,37,1,2,60/40,study_3,ss15,0.474795918367347,0.0631831151447458,low-prob
ss15_bl7525,37,1,1,75/25,study_3,ss15,0.831545454545455,0.164955194973598,hi-prob
ss15_bl7525,37,1,2,75/25,study_3,ss15,0.341272727272727,0.0868123138178116,low-prob
ss15_bl9010,37,1,1,90/10,study_3,ss15,0.831078431372549,-0.122666068636609,hi-prob
ss15_bl9010,37,1,2,90/10,study_3,ss15,0.118039215686274,0.0988960768274018,low-prob
ss16_bl6040,30,1,1,60/40,study_3,ss16,0.345729166666667,-0.266664288801538,hi-prob
ss16_bl6040,30,1,2,60/40,study_3,ss16,0.1365625,-0.186842026470077,low-prob
ss16_bl7525,30,1,1,75/25,study_3,ss16,0.602211538461538,-0.239726104561547,hi-prob
ss16_bl7525,30,1,2,75/25,study_3,ss16,0.353076923076923,0.16663363495159,low-prob
ss16_bl9010,30,1,1,90/10,study_3,ss16,0.695869565217391,-0.216700774785316,hi-prob
ss16_bl9010,30,1,2,90/10,study_3,ss16,0.048695652173913,0.0203311369225428,low-prob
ss17_bl6040,49,2,1,60/40,study_3,ss17,0.555714285714286,-0.152312413678513,hi-prob
ss17_bl6040,49,2,2,60/40,study_3,ss17,0.572551020408163,0.178864933326564,low-prob
ss17_bl7525,49,2,1,75/25,study_3,ss17,0.72,-0.121937643023085,hi-prob
ss17_bl7525,49,2,2,75/25,study_3,ss17,0.283173076923077,0.0967297887977437,low-prob
ss17_bl9010,49,2,1,90/10,study_3,ss17,0.953076923076922,0.0647614735147157,hi-prob
ss17_bl9010,49,2,2,90/10,study_3,ss17,0.105769230769231,-0.0162506811716122,low-prob
ss18_bl6040,34,1,1,60/40,study_3,ss18,0.543205128205128,-0.0661783156590142,hi-prob
