ta,specID,contingency,study,noswitches,ids,m1_BIC,m2_BIC,m3_BIC,m1m1_diff,m1m2_diff,m1m3_diff,m2m1_diff,m2m2_diff,m2m3_diff,m3m1_diff,m3m2_diff,m3m3_diff
53,ss30_bl9010,90/10,3,NaN,ss30,0.705446082352209,0.697031218546815,0.635596100696634,0,0.00841486380539425,0.069849981655575,-0.00841486380539425,0,0.0614351178501807,-0.069849981655575,-0.0614351178501807,0
27,ss32_bl6040,60/40,3,NaN,ss32,0.248838341858259,0.202486101708191,0.304162657823466,0,0.0463522401500678,-0.0553243159652071,-0.0463522401500678,0,-0.101676556115275,0.0553243159652071,0.101676556115275,0
27,ss32_bl7525,75/25,3,NaN,ss32,0.628281446305536,0.707047386684682,0.639746147637728,0,-0.0787659403791464,-0.0114647013321926,0.0787659403791464,0,0.0673012390469538,0.0114647013321926,-0.0673012390469538,0
27,ss32_bl9010,90/10,3,NaN,ss32,0.290291848010375,0.308456827797414,NaN,0,-0.0181649797870387,NaN,0.0181649797870387,0,NaN,NaN,NaN,NaN
37,ss33_bl6040,60/40,3,NaN,ss33,0.233923832812941,0.305966527395845,0.244386159971067,0,-0.0720426945829042,-0.0104623271581256,0.0720426945829042,0,0.0615803674247786,0.0104623271581256,-0.0615803674247786,0
37,ss33_bl7525,75/25,3,NaN,ss33,0.520775056541705,0.516519972103325,0.40698187877713,0,0.00425508443837974,0.113793177764574,-0.00425508443837974,0,0.109538093326195,-0.113793177764574,-0.109538093326195,0
37,ss33_bl9010,90/10,3,NaN,ss33,0.571570825376586,0.548670450763797,0.591413860001992,0,0.0229003746127894,-0.0198430346254066,-0.0229003746127894,0,-0.042743409238196,0.0198430346254066,0.042743409238196,0
53,ss34_bl6040,60/40,3,NaN,ss34,0.55553040534971,0.590269148779603,0.53698757836774,0,-0.0347387434298932,0.0185428269819692,0.0347387434298932,0,0.0532815704118624,-0.0185428269819692,-0.0532815704118624,0
53,ss34_bl7525,75/25,3,NaN,ss34,0.629518836678031,0.720905042964479,0.62617619803217,0,-0.0913862062864479,0.00334263864586115,0.0913862062864479,0,0.094728844932309,-0.00334263864586115,-0.094728844932309,0
53,ss34_bl9010,90/10,3,NaN,ss34,0.681525642679709,0.622063673855305,0.698481515813022,0,0.0594619688244041,-0.0169558731333128,-0.0594619688244041,0,-0.0764178419577169,0.0169558731333128,0.0764178419577169,0
39,ss35_bl6040,60/40,3,NaN,ss35,0.528218651873784,0.536214424245207,0.480066762275793,0,-0.0079957723714229,0.0481518895979907,0.0079957723714229,0,0.0561476619694136,-0.0481518895979907,-0.0561476619694136,0
39,ss35_bl7525,75/25,3,NaN,ss35,0.583488357938623,0.592888089842588,0.573989814166887,0,-0.00939973190396493,0.00949854377173598,0.00939973190396493,0,0.0188982756757009,-0.00949854377173598,-0.0188982756757009,0
39,ss35_bl9010,90/10,3,NaN,ss35,0.729624784351388,0.7425871627544,0.676090143660276,0,-0.0129623784030125,0.0535346406911112,0.0129623784030125,0,0.0664970190941238,-0.0535346406911112,-0.0664970190941238,0
37,ss36_bl6040,60/40,3,NaN,ss36,0.534465425396254,0.563802013414849,0.52574164365885,0,-0.0293365880185956,0.00872378173740362,0.0293365880185956,0,0.0380603697559992,-0.00872378173740362,-0.0380603697559992,0
37,ss36_bl7525,75/25,3,NaN,ss36,0.284016864780612,0.326993100898732,0.35620609031143,0,-0.042976236118119,-0.0721892255308176,0.042976236118119,0,-0.0292129894126986,0.0721892255308176,0.0292129894126986,0
37,ss36_bl9010,90/10,3,NaN,ss36,0.646172438301216,0.656265127928829,0.619680869176273,0,-0.0100926896276129,0.0264915691249433,0.0100926896276129,0,0.0365842587525562,-0.0264915691249433,-0.0365842587525562,0
53,ss37_bl6040,60/40,3,NaN,ss37,0.624441319173201,0.677173115191274,0.602869540227716,0,-0.052731796018073,0.021571778945485,0.052731796018073,0,0.074303574963558,-0.021571778945485,-0.074303574963558,0
53,ss37_bl7525,75/25,3,NaN,ss37,0.783322259873629,0.783645679468952,0.763266967168997,0,-0.00032341959532356,0.020055292704632,0.00032341959532356,0,0.0203787122999556,-0.020055292704632,-0.0203787122999556,0
53,ss37_bl9010,90/10,3,NaN,ss37,0.755944609503984,0.763631695583968,0.71935803446611,0,-0.00768708607998336,0.0365865750378743,0.00768708607998336,0,0.0442736611178577,-0.0365865750378743,-0.0442736611178577,0
20,ss38_bl6040,60/40,3,NaN,ss38,0.286162849401793,0.089070555774068,0.298008162565482,0,0.197092293627725,-0.0118453131636894,-0.197092293627725,0,-0.208937606791414,0.0118453131636894,0.208937606791414,0
20,ss38_bl7525,75/25,3,NaN,ss38,0.366382589166449,0.405168497555899,0.350806171711005,0,-0.0387859083894491,0.0155764174554445,0.0387859083894491,0,0.0543623258448936,-0.0155764174554445,-0.0543623258448936,0
20,ss38_bl9010,90/10,3,NaN,ss38,0.609963774611646,0.5968325477667,0.67858758485736,0,0.0131312268449462,-0.0686238102457143,-0.0131312268449462,0,-0.0817550370906605,0.0686238102457143,0.0817550370906605,0
33,ss39_bl6040,60/40,3,NaN,ss39,0.706367577747738,0.620512605237885,0.647049892804745,0,0.0858549725098539,0.0593176849429934,-0.0858549725098539,0,-0.0265372875668605,-0.0593176849429934,0.0265372875668605,0
33,ss39_bl7525,75/25,3,NaN,ss39,0.459241776326519,0.482557311757759,0.412284430458214,0,-0.02331553543124,0.0469573458683046,0.02331553543124,0,0.0702728812995446,-0.0469573458683046,-0.0702728812995446,0
33,ss39_bl9010,90/10,3,NaN,ss39,0.613901748268834,0.578766642331064,0.584932272073345,0,0.0351351059377694,0.0289694761954882,-0.0351351059377694,0,-0.00616562974228119,-0.0289694761954882,0.00616562974228119,0
56,ss40_bl6040,60/40,3,NaN,ss40,0.293698800849456,0.295526801684618,0.309082943579867,0,-0.0018280008351626,-0.0153841427304109,0.0018280008351626,0,-0.0135561418952483,0.0153841427304109,0.0135561418952483,0
56,ss40_bl7525,75/25,3,NaN,ss40,0.318714063204858,0.3517590290604,0.294380276210991,0,-0.0330449658555425,0.0243337869938668,0.0330449658555425,0,0.0573787528494092,-0.0243337869938668,-0.0573787528494092,0
56,ss40_bl9010,90/10,3,NaN,ss40,0.0833712908906573,-0.0534150826995811,-0.191937073807651,0,0.136786373590238,0.275308364698308,-0.136786373590238,0,0.138521991108069,-0.275308364698308,-0.138521991108069,0
42,ss41_bl6040,60/40,3,NaN,ss41,0.459916838503548,0.595249929317605,0.50676221738794,0,-0.135333090814057,-0.0468453788843914,0.135333090814057,0,0.0884877119296656,0.0468453788843914,-0.0884877119296656,0
42,ss41_bl7525,75/25,3,NaN,ss41,0.702272524865885,0.722581775965507,0.689219068816842,0,-0.0203092510996222,0.013053456049043,0.0203092510996222,0,0.0333627071486652,-0.013053456049043,-0.0333627071486652,0
42,ss41_bl9010,90/10,3,NaN,ss41,0.841348131056637,0.812554560520817,0.809394958083451,0,0.0287935705358191,0.0319531729731859,-0.0287935705358191,0,0.00315960243736679,-0.0319531729731859,-0.00315960243736679,0
47,ss42_bl6040,60/40,3,NaN,ss42,0.432938166612918,0.364717607025428,0.48584752337259,0,0.0682205595874901,-0.0529093567596715,-0.0682205595874901,0,-0.121129916347162,0.0529093567596715,0.121129916347162,0
47,ss42_bl7525,75/25,3,NaN,ss42,0.278734582495504,0.11929950849609,0.350378707869161,0,0.159435073999414,-0.0716441253736571,-0.159435073999414,0,-0.231079199373071,0.0716441253736571,0.231079199373071,0
47,ss42_bl9010,90/10,3,NaN,ss42,0.657001629225801,0.665649164512476,0.64601125739283,0,-0.00864753528667572,0.010990371832971,0.00864753528667572,0,0.0196379071196467,-0.010990371832971,-0.0196379071196467,0
