ta,specID,contingency,study,noswitches,ids,m1_BIC,m2_BIC,m3_BIC,m1m1_diff,m1m2_diff,m1m3_diff,m2m1_diff,m2m2_diff,m2m3_diff,m3m1_diff,m3m2_diff,m3m3_diff
30,pl25,75/25,1,NaN,pl25,0.704458409290374,0.645362968534167,0.676085707719163,0,0.0590954407562073,0.0283727015712112,-0.0590954407562073,0,-0.0307227391849961,-0.0283727015712112,0.0307227391849961,0
26,pl26,75/25,1,NaN,pl26,0.206735175035856,0.193011774423337,0.118805793253738,0,0.0137234006125188,0.087929381782118,-0.0137234006125188,0,0.0742059811695992,-0.087929381782118,-0.0742059811695992,0
44,pl27,75/25,1,NaN,pl27,0.251146230993611,0.326569077093894,0.331589266179938,0,-0.0754228461002827,-0.0804430351863264,0.0754228461002827,0,-0.00502018908604374,0.0804430351863264,0.00502018908604374,0
40,pl28,75/25,1,NaN,pl28,0.502583897609846,0.47238207219275,0.109237136699579,0,0.0302018254170962,0.393346760910267,-0.0302018254170962,0,0.36314493549317,-0.393346760910267,-0.36314493549317,0
46,pl29,75/25,1,NaN,pl29,0.474454485692887,0.443210639789575,0.478871098233228,0,0.0312438459033119,-0.00441661254034031,-0.0312438459033119,0,-0.0356604584436522,0.00441661254034031,0.0356604584436522,0
30,pl30,75/25,1,NaN,pl30,0.620681872953101,0.657619811229815,0.582403372415745,0,-0.0369379382767141,0.0382785005373564,0.0369379382767141,0,0.0752164388140705,-0.0382785005373564,-0.0752164388140705,0
22,pl33,75/25,1,NaN,pl33,0.504797543564478,0.420774973438643,0.339109842404006,0,0.0840225701258349,0.165687701160471,-0.0840225701258349,0,0.0816651310346365,-0.165687701160471,-0.0816651310346365,0
57,pl34,75/25,1,NaN,pl34,0.121318459914365,0.0485705992553764,0.220501242996268,0,0.0727478606589882,-0.0991827830819036,-0.0727478606589882,0,-0.171930643740892,0.0991827830819036,0.171930643740892,0
34,m01_v2,75/25,2,NaN,m01,0.507672724495202,0.50517641820693,0.494350175421198,0,0.00249630628827147,0.0133225490740034,-0.00249630628827147,0,0.0108262427857319,-0.0133225490740034,-0.0108262427857319,0
39,m08_v2,75/25,2,NaN,m08,0.460073197715428,0.466606008474611,0.44771043407996,0,-0.00653281075918249,0.0123627636354681,0.00653281075918249,0,0.0188955743946506,-0.0123627636354681,-0.0188955743946506,0
40,m14_v2,75/25,2,NaN,m14,0.0123965968511391,0.087097150193664,NaN,0,-0.074700553342525,NaN,0.074700553342525,0,NaN,NaN,NaN,NaN
50,m22_v2,75/25,2,NaN,m22,0.578294141084088,0.558354939548642,0.541333834500253,0,0.0199392015354466,0.0369603065838353,-0.0199392015354466,0,0.0170211050483887,-0.0369603065838353,-0.0170211050483887,0
45,m26_v2,75/25,2,NaN,m26,0.609298403374912,0.0931702694139363,0.605561054572578,0,0.516128133960976,0.00373734880233434,-0.516128133960976,0,-0.512390785158641,-0.00373734880233434,0.512390785158641,0
30,m27_v2,75/25,2,NaN,m27,0.522475969975971,0.538205660484998,0.217279949323994,0,-0.0157296905090268,0.305196020651978,0.0157296905090268,0,0.320925711161005,-0.305196020651978,-0.320925711161005,0
42,m29_v2,75/25,2,NaN,m29,0.254984910056804,0.118180951613109,0.250984563135327,0,0.136803958443695,0.00400034692147688,-0.136803958443695,0,-0.132803611522218,-0.00400034692147688,0.132803611522218,0
33,m34_v2,75/25,2,NaN,m34,0.694603556596133,0.727887096890279,0.652963682854604,0,-0.033283540294146,0.0416398737415289,0.033283540294146,0,0.0749234140356749,-0.0416398737415289,-0.0749234140356749,0
44,m39_v2,75/25,2,NaN,m39,0.048219813105373,-0.00902588880470302,0.143515988658835,0,0.057245701910076,-0.0952961755534621,-0.057245701910076,0,-0.152541877463538,0.0952961755534621,0.152541877463538,0
33,m40_v2,75/25,2,NaN,m40,0.742204090941371,0.729033083092531,0.698158971634914,0,0.0131710078488396,0.0440451193064566,-0.0131710078488396,0,0.030874111457617,-0.0440451193064566,-0.030874111457617,0
29,m41_v2,75/25,2,NaN,m41,0.355270670817661,NaN,0.40777462269326,0,NaN,-0.0525039518755983,NaN,NaN,NaN,0.0525039518755983,NaN,0
32,m43_v2,75/25,2,NaN,m43,0.6244582148922,0.675477981641895,0.614577264288461,0,-0.0510197667496952,0.00988095060373828,0.0510197667496952,0,0.0609007173534335,-0.00988095060373828,-0.0609007173534335,0
39,f04_v2,75/25,2,NaN,f04,0.702056209132516,NaN,0.650344231337805,0,NaN,0.0517119777947115,NaN,NaN,NaN,-0.0517119777947115,NaN,0
37,f12_v2,75/25,2,NaN,f12,0.336611435060158,0.379667060782385,0.367396275799933,0,-0.0430556257222268,-0.0307848407397746,0.0430556257222268,0,0.0122707849824522,0.0307848407397746,-0.0122707849824522,0
25,f15_v2,75/25,2,NaN,f15,0.514074757346666,0.479191113098142,0.59110330271135,0,0.0348836442485237,-0.077028545364685,-0.0348836442485237,0,-0.111912189613209,0.077028545364685,0.111912189613209,0
26,f20_v2,75/25,2,NaN,f20,0.733532636044386,0.735187265369227,0.72466708761318,0,-0.00165462932484028,0.00886554843120635,0.00165462932484028,0,0.0105201777560466,-0.00886554843120635,-0.0105201777560466,0
43,f27_v2,75/25,2,NaN,f27,0.624220180690012,0.590877343406262,0.614330935251799,0,0.03334283728375,0.00988924543821301,-0.03334283728375,0,-0.023453591845537,-0.00988924543821301,0.023453591845537,0
